"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2020,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur Registrat",566
2020,1,8,"Nou Barris",45,"Porta","Homes","Atur Registrat",578
2020,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur Registrat",344
2020,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur Registrat",48
2020,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur Registrat",397
2020,1,8,"Nou Barris",49,"Canyelles","Homes","Atur Registrat",194
2020,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur Registrat",420
2020,1,8,"Nou Barris",51,"Verdun","Homes","Atur Registrat",322
2020,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur Registrat",649
2020,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur Registrat",287
2020,1,8,"Nou Barris",54,"Torre Baró","Homes","Atur Registrat",79
2020,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Atur Registrat",414
2020,1,8,"Nou Barris",56,"Vallbona","Homes","Atur Registrat",48
2020,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Atur Registrat",384
2020,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Atur Registrat",50
2020,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Atur Registrat",284
2020,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Atur Registrat",1151
2020,1,9,"Sant Andreu",61,"la Sagrera","Homes","Atur Registrat",537
2020,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Atur Registrat",261
2020,1,9,"Sant Andreu",63,"Navas","Homes","Atur Registrat",405
2020,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Atur Registrat",849
2020,1,10,"Sant Martí",65,"el Clot","Homes","Atur Registrat",558
2020,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Atur Registrat",266
2020,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Atur Registrat",182
2020,1,10,"Sant Martí",68,"el Poblenou","Homes","Atur Registrat",624
2020,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Atur Registrat",297
2020,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Atur Registrat",677
2020,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Atur Registrat",430
2020,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Atur Registrat",587
2020,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Atur Registrat",664
2020,1,99,"No consta",99,"No consta","Homes","Atur Registrat",9
2020,1,1,"Ciutat Vella",1,"el Raval","Homes","Demanda No Aturats",438
2020,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Demanda No Aturats",135
2020,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Demanda No Aturats",161
2020,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Demanda No Aturats",219
2020,1,2,"Eixample",5,"el Fort Pienc","Homes","Demanda No Aturats",151
2020,1,2,"Eixample",6,"la Sagrada Família","Homes","Demanda No Aturats",244
2020,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Demanda No Aturats",161
2020,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Demanda No Aturats",152
2020,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Demanda No Aturats",279
